,is_fraud,text,norm
34,1,"здравствуйте, сэр, я из центра обслуживания клиентов airtel, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры opt будут отправлены. скажите мне, что OTP.","здравствуйте, сэр, я из центр обслуживание клиент airtel, мы проверять ваш номер, поэтому в ваш телефон четыре цифра opt быть отправлены. сказать мне, что otp."
35,1,"здравствуйте, сэр, я из центра обслуживания клиентов IDEA, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP.","здравствуйте, сэр, я из центр обслуживание клиент idea, мы проверять ваш номер, поэтому в ваш телефон четыре цифра opt быть отправлены. сказать мне, что otp."
36,1,"здравствуйте, сэр, я из центра обслуживания клиентов Vodafone, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP.","здравствуйте, сэр, я из центр обслуживание клиент vodafone, мы проверять ваш номер, поэтому в ваш телефон четыре цифра opt быть отправлены. сказать мне, что otp."
37,1,"здравствуйте, сэр, я из центра обслуживания клиентов bsnl, мы проверяем ваш номер, поэтому в вашем телефоне будет отправлено четыре цифры opt. скажите мне, что otp.","здравствуйте, сэр, я из центр обслуживание клиент bsnl, мы проверять ваш номер, поэтому в ваш телефон быть отправить четыре цифра opt. сказать мне, что otp."
38,1,"здравствуйте, сэр, это ваш менеджер банка hdfc. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета.","здравствуйте, сэр, это ваш менеджер банк hdfc. ваш kyc истек. поэтому вы нужно kyc себя, но из-за настройка covid мы делать kyc онлайн, пожалуйста, сказать я деталь ваш счета."
39,1,"здравствуйте, сэр, это ваш менеджер банка ICICI. ваш kyc истек. Таким образом, вы бреетесь, чтобы kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, сообщите мне информацию о своем счете.","здравствуйте, сэр, это ваш менеджер банк icici. ваш kyc истек. такой образом, вы беретесь, чтобы kyc себя, но из-за настройка covid мы делать kyc онлайн, пожалуйста, сообщить я информация о свой счете."
40,1,"здравствуйте, сэр, это ваш менеджер банка Axis. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета.","здравствуйте, сэр, это ваш менеджер банк axis. ваш kyc истек. поэтому вы нужно kyc себя, но из-за настройка covid мы делать kyc онлайн, пожалуйста, сказать я деталь ваш счета."
41,1,"здравствуйте, сэр, это ваш менеджер банка uniun. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, pleae скажите мне детали вашего счета.","здравствуйте, сэр, это ваш менеджер банк uniun. ваш kyc истек. поэтому вы нужно kyc себя, но из-за настройка covid мы делать kyc онлайн, pleae сказать я деталь ваш счета."
42,1,"здравствуйте, сэр, это ваш менеджер банка sbi. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета.","здравствуйте, сэр, это ваш менеджер банк sbi. ваш kyc истек. поэтому вы нужно kyc себя, но из-за настройка covid мы делать kyc онлайн, пожалуйста, сказать я деталь ваш счета."
43,1,"здравствуйте, сэр, это ваш менеджер банка в Аллахабаде. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета.","здравствуйте, сэр, это ваш менеджер банк в аллахабаде. ваш kyc истек. поэтому вы нужно kyc себя, но из-за настройка covid мы делать kyc онлайн, пожалуйста, сказать я деталь ваш счета."
44,1,"здравствуйте, сэр, вы используете bhim/upi , сэр, вы должны благодарить свой bhim/upi othr за то, что ваш аккаунт будет заблокирован.","здравствуйте, сэр, вы использовать bhim/upi , сэр, вы должный благодарить свой bhim/upi othr за то, что ваш аккаунт быть заблокирован."
45,1,"здравствуйте, сэр, скажите мне свой номер мобильного телефона кредитной/дебетовой карты и карту aadhar.","здравствуйте, сэр, сказать я свой номер мобильный телефон кредитной/дебетовый карта и карта aadhar."
46,1,"здравствуйте, я из текстового отдела доходов, вы не зарегистрировали свой aadhar на своей карте Pan. пожалуйста, скажите мне свой номер aadhar, чтобы подключиться к вашей карте Pan.","здравствуйте, я из текстовый отдел доходов, вы не зарегистрировать свой aadhar на свой карта pan. пожалуйста, сказать я свой номер aadhar, чтобы подключиться к ваш карта pan."
47,1,"здравствуйте, сэр, я из банка, пожалуйста, скажите мне номер CVV вашей карты для вашей банковской верификации.","здравствуйте, сэр, я из банка, пожалуйста, сказать я номер cvv ваш карта для ваш банковский верификации."
48,1,"здравствуйте, сэр, я из Union Bank, сэр, я должен позвонить вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan карты и номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из union bank, сэр, я должный позвонить вы для проверка ваш банковский счета, вы хотеть подтвердить свой счет. сэр, затем сказать я номер ваш карта aadhar и pan карта и номер ваш дебетовой/кредитный карты."
49,1,"здравствуйте, сэр, я из банка sbi, сэр, я должен позвонить вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan, а также номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из банк sbi, сэр, я должный позвонить вы для проверка ваш банковский счета, вы хотеть подтвердить свой счет. сэр, затем сказать я номер ваш карта aadhar и pan, а также номер ваш дебетовой/кредитный карты."
50,1,"здравствуйте, сэр, я из банка hdfc, сэр, у меня есть звонок вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan, а также номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из банк hdfc, сэр, у я есть звонок вы для проверка ваш банковский счета, вы хотеть подтвердить свой счет. сэр, затем сказать я номер ваш карта aadhar и pan, а также номер ваш дебетовой/кредитный карты."
51,1,"здравствуйте, сэр, я из индийского банка, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты aadhar и Pan и номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из индийский банка, сэр, я должный позвонить вы для проверка ваш банковский счета. вы хотеть подтвердить свой счет. затем, сэр, сообщить я номер ваш карта aadhar и pan и номер ваш дебетовой/кредитный карты."
52,1,"здравствуйте, сэр, я из банка OBI, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты Aadhar и Pan, а также номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из банк obi, сэр, я должный позвонить вы для проверка ваш банковский счета. вы хотеть подтвердить свой счет. затем, сэр, сообщить я номер ваш карта aadhar и pan, а также номер ваш дебетовой/кредитный карты."
53,1,"здравствуйте, сэр, я из банка Аллахабада, сэр, у меня есть звонок вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты aadhar и Pan и номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из банк аллахабада, сэр, у я есть звонок вы для проверка ваш банковский счета. вы хотеть подтвердить свой счет. затем, сэр, сообщить я номер ваш карта aadhar и pan и номер ваш дебетовой/кредитный карты."
54,1,"здравствуйте, сэр, я из банка Барода, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты Aadhar и Pan, а также номер вашей дебетовой/кредитной карты.","здравствуйте, сэр, я из банк народа, сэр, я должный позвонить вы для проверка ваш банковский счета. вы хотеть подтвердить свой счет. затем, сэр, сообщить я номер ваш карта aadhar и pan, а также номер ваш дебетовой/кредитный карты."
55,1,"здравствуйте, сэр ,я из unoin банка Индии у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера.","здравствуйте, сэр ,я из unoin банк индия у вы есть заполнить форма заявка на кредит. я позвонить вы для проверка ваш документа, сказать я свой номер aadhar и otp ваш мобильный номера."
56,1,"здравствуйте, сэр ,я из sbi банка Индии у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера.","здравствуйте, сэр ,я из sbi банк индия у вы есть заполнить форма заявка на кредит. я позвонить вы для проверка ваш документа, сказать я свой номер aadhar и otp ваш мобильный номера."
57,1,"здравствуйте, сэр ,я из банка Axis в Индии, у вас есть заполненная форма заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера.","здравствуйте, сэр ,я из банк axis в индии, у вы есть заполнить форма заявка на кредит. я позвонить вы для проверка ваш документа, сказать я свой номер aadhar и otp ваш мобильный номера."
58,1,"здравствуйте, сэр ,я из банка hdfc Индии, у вас есть заполненная форма заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера.","здравствуйте, сэр ,я из банк hdfc индии, у вы есть заполнить форма заявка на кредит. я позвонить вы для проверка ваш документа, сказать я свой номер aadhar и otp ваш мобильный номера."
59,1,"здравствуйте, сэр ,я из банка Барода Индия у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и OTP вашего мобильного номера.","здравствуйте, сэр ,я из банк народ индия у вы есть заполнить форма заявка на кредит. я позвонить вы для проверка ваш документа, сказать я свой номер aadhar и otp ваш мобильный номера."
60,1,"здравствуйте, сэр, я из paytm есть предложение в paytm обновить свой счет, чтобы вы могли наслаждаться лучшими кешбэками.","здравствуйте, сэр, я из paytm есть предложение в paytm обновить свой счет, чтобы вы мочь наслаждаться хороший кешбэка."
61,1,"вы выиграли счастливый розыгрыш для покупок на Amazon, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики.","вы выиграть счастливый розыгрыш для покупка на amazon, предоставить свой банковский реквизит для внесение ваш сумма на счёт логистики."
62,1,"вы выиграли счастливый розыгрыш для покупок на флипкарте, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики.","вы выиграть счастливый розыгрыш для покупка на литкарте, предоставить свой банковский реквизит для внесение ваш сумма на счёт логистики."
63,1,"вы выиграли счастливый розыгрыш для покупок на myntra, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики.","вы выиграть счастливый розыгрыш для покупка на myntra, предоставить свой банковский реквизит для внесение ваш сумма на счёт логистики."
64,1,"здравствуйте, сэр, мы из центра здравоохранения covid-19, для вакцинации звоните 7845963214","здравствуйте, сэр, мы из центр здравоохранение covid-19, для вакцинация звонить 7845963214"
65,1,"здравствуйте, сэр, я из центра Covid-19, вы заполнили форму для вакцинации, мы за верификацию вашего документа.","здравствуйте, сэр, я из центр covid-19, вы заполнить форма для вакцинации, мы за верификация ваш документа."
66,1,"здравствуйте, сэр, я из центра covid-19, те, кто вакцинирован, они получат деньги индийским правительством, пожалуйста, сообщите мне информацию о счете, чтобы внести деньги на ваш счет.","здравствуйте, сэр, я из центр covid-19, те, кто вакцинирован, они получить деньга индийский правительством, пожалуйста, сообщить я информация о счете, чтобы внести деньга на ваш счет."
67,1,"здравствуйте, сэр, я из центра covid-19, за вакцинацию вы должны заплатить деньги ,пожалуйста, заплатите свои деньги за это upi myupi@axis","здравствуйте, сэр, я из центр covid-19, за вакцинация вы должный заплатить деньга ,пожалуйста, заплатить свой деньга за это upi myupi@axis"
68,0,"здравствуйте, как поживаете. Я в порядке, а как же вы.","здравствуйте, как поживаете. я в порядке, а как же вы."
69,0,hii,hii
70,0,"Feb 10, 2008, 14:24","feb 10, 2008, 14:24"
71,1,"привет, вы выиграли 10000 INR, вы хотите внести его на свой банковский счет.","привет, вы выиграть 10000 inr, вы хотеть внести он на свой банковский счет."
72,1,дайте мне номер вашего банковского счета и номер дебетовой карты для внесения денег на ваш банковский счет.,дать я номер ваш банковский счёт и номер дебетовый карта для внесение деньга на ваш банковский счет.
73,1,"здравствуйте, сэр,я из банка sbi,вы хотите новую кредитную карту. Дайте свой aadhar и номер мобильного телефона для выпуска кредитной карты.","здравствуйте, сэр,ть из банк sbi,в хотеть новый кредитный карту. дать свой aadhar и номер мобильный телефон для выпуск кредитный карты."
74,1,"здравствуйте, сэр, чтобы получить ваучер на 500 INR для игры в рамми перейдите по этой ссылке http://xyz.abc","здравствуйте, сэр, чтобы получить ваучер на 500 inr для игра в рамми перейти по этот ссылка http://xyz.abc"
75,1,"здравствуйте, я из индийской армии. по ошибке я дал свой номер мобильного телефона в amozon во время онлайн-покупок, что почему у вас есть OTP, пожалуйста, скажите мне, что OTP.","здравствуйте, я из индийский армии. по ошибка я дать свой номер мобильный телефон в amozon в время онлайн-покупок, что почему у вы есть otp, пожалуйста, сказать мне, что otp."
76,1,"Как ценный сетевой клиент, вы были выбраны, чтобы получить приз в размере 9000 INR! Чтобы подать заявку, позвоните по номеру 09061701461. Код заявки KL341. Действителен только 12 часов.","как ценный сетевой клиент, вы быть выбраны, чтобы получить приз в размер 9000 inr! чтобы подать заявку, позвонить по номер 09061701461. код заявка kl341. действительный только 12 часов."
77,1,Если ваш мобильный телефон 11 месяцев или больше? вы имеете право на обновление до последних цветных мобильных телефонов с камерой бесплатно! Позвоните в The Mobile Update Co БЕСПЛАТНО по телефону 08002986030.,если ваш мобильный телефон 11 месяц или больше? вы иметь право на обновление до последний цветной мобильный телефон с камера бесплатно! позвонить в the mobile update co бесплатно по телефон 08002986030.
78,0,"Хорошо, я смотрю здесь.","хорошо, я смотреть здесь."
79,0,"Это правда, как ты пишешь его имя?","это правда, как ты писать он имя?"
80,0,"Попробую 2 месяца,ха-ха, только шучу.","попробовать 2 месяца,ха-ха, только шучу."
81,0,Ты сел на автобус? Ты жаришь яйцо? Ты заварил чай? Ты ешь остатки мамы за ужином? Чувствуешь мою любовь ?,ты сесть на автобус? ты жарить яйцо? ты заварить чай? ты есть остаток мама за ужином? чувствовать мой любовь ?
82,0,"Я вернулся, и мы собираем машину, я дам вам знать, если есть место.","я вернулся, и мы собирать машину, я дать вы знать, если есть место."
83,0,"Здравствуйте! Как вы и как прошла суббота? Я просто писала, чтобы узнать, не решил ли ты сделать что-нибудь томографическое. Не то, чтобы я пытался пригласить себя или что-то еще!","здравствуйте! как вы и как пройти суббота? я просто писала, чтобы узнать, не решить ли ты сделать что-нибудь томографическое. не то, чтобы я пытаться пригласить себя или что-то еще!"
84,0,Пльс идут вперед с ваттами. Я просто хотел быть уверенным. Приятных выходных.,плюс идти вперёд с ваттами. я просто хотеть быть уверенным. приятный выходных.
85,0,"Хорошо, расскажи мне что-нибудь о себе.","хорошо, рассказать я что-нибудь о себе."
86,0,"ты не представляешь, какой я упрямый. Я даже не хотел идти в больницу. Я продолжал говорить Марку, что я не слабак. Больницы для слабых сосисок.","ты не представляешь, какой я упрямый. я даже не хотеть идти в больницу. я продолжать говорить марку, что я не слабак. больница для слабый сосисок."
87,0,Что ты обо мне думаешь. Вы впервые увидели меня в классе.,что ты о я думаешь. вы впервые увидеть я в классе.
88,0,"Знаешь, что вчера сделала Маллика Шерават?","знаешь, что вчера сделать маллик рават?"
89,1,Поздравляем! 1 год специального пропуска в кино на двоих - ваш. Не пропустите!,поздравляем! 1 год специальный пропуск в кино на двое - ваш. не пропустите!
90,0,"Извините, я позвоню позже на встрече.","извините, я позвонить поздний на встрече."
91,0,"Расскажите, где вы добрались.","расскажите, где вы добрались."
92,0,Да...Гаути и Сехваг из серии Оди.,да...агути и сев из серия оди.
93,0,Тебе придётся забрать себе бургер за 1 доллар по дороге домой. Я даже не могу пошевелиться. Боль убивает меня.,ты прийтись забрать себя бургер за 1 доллар по дорога домой. я даже не мочь пошевелиться. боль убивать меня.
94,0,Хорошая шутка. Девочки - искатели ситуаций.,хороший шутка. девочка - искатель ситуаций.
95,0,Это часть проверки IQ.,это часть проверка iq.
96,0,"Простите, мои соседи по комнате заняли целую вечность, ничего, если я сейчас приду?","простите, мой сосед по комната занять целый вечность, ничего, если я сейчас приду?"
97,0,Планирую отдать в конце этого месяца.,планировать отдать в конец это месяца.
98,0,Вах везунчик... Тогда можно сэкономить... Хи...,ваха везунчик... тогда можно сэкономить... хи...
99,0,"Занятия закончились, где вы?","занятие закончились, где вы?"
100,1,"ПРИВЕТ, ДЕТКА, Я ДОМА, ТЕПЕРЬ ХОЧУ ЧТО-ТО СДЕЛАТЬ? XXX","привет, ека, я ома, теперь оу то-то делать? xxx"
101,0,"хорошо, где вы? как вы выступили?","хорошо, где вы? как вы выступили?"
102,0,Можете мне позвонить,мочь я позвонить
103,0,"Я жду Махана. Позвони мне, как освободишься.","я ждать махала. позвонить мне, как освободишься."
104,0,Это круто. Я джентльмен и буду относиться к вам с достоинством и уважением.,это круто. я джентльмен и быть относиться к вы с достоинство и уважением.
105,0,"Вы мне очень нравитесь, но я очень застенчивый папа.","вы я очень нравитесь, но я очень застенчивый папа."
106,0,Не работает после  &lt;#&gt;  или что,не работать после &lt;#&gt; или что
107,0,Здесь все по-другому. Все еще ищу работу. Сколько вы там зарабатываете.,здесь всё по-другому. всё ещё искать работу. сколько вы там зарабатываете.
108,0,"Извините, я позвоню позже.","извините, я позвонить позже."
109,0,Ты только что мне позвонил?,ты только что я позвонил?
110,0,"Хорошо, я на пути домой.","хорошо, я на путь домой."
111,0,Вы окажетесь на месте этого человека.,вы оказаться на место это человека.
112,0,"Да, следующая остановка.","да, следующий остановка."
113,0,"Я позвоню тебе позже, у меня нет сети. Если срочно, напишите мне.","я позвонить ты позже, у я нет сети. если срочно, написать мне."
114,0,"Серьезно, когда ты нападаешь на себя? Мне нужно еще два билета и еще один пиджак, и я закончил. Я уже использовал все свои мультисы.","серьезно, когда ты нападать на себя? я нужно ещё два билет и ещё один пиджак, и я закончил. я уже использовать всё свой мульти."
115,0,"Да, я начал посылать запросы, чтобы сделать это, но боль вернулась, поэтому я вернулся в постель. Двойные монеты на заводе. Я должен обналичить все свои нитро.","да, я начать посылать запросы, чтобы сделать это, но боль вернулась, поэтому я вернуться в постель. двойной монета на заводе. я должный обналичить всё свой нитро."
116,0,"Я действительно не до этого еще сегодня вечером, детка","я действительно не до это ещё сегодня вечером, детка"
117,0,"приходите, когда будете свободны.","приходите, когда быть свободны."
118,0,Смотреть мультфильм «Телугу» - как насчет тебя?,смотреть мультфильм «телугу» - как насчёт тебя?
119,0,"понятно. Когда мы закончим, у нас будет куча кредитов для оплаты.","понятно. когда мы закончим, у мы быть куча кредит для оплаты."
120,0,Является ли это испытанием для вас?,являться ли это испытание для вас?
121,0,Я вижу чашку кофе с анимацией.,я видеть чашка кофе с анимацией.
122,0,"Пожалуйста, больше не пиши мне. Мне больше нечего сказать.","пожалуйста, большой не писать мне. я большой нечего сказать."
123,0,"Хорошо, назовите свою цену, пока это законно! Когда я смогу их забрать?","хорошо, назвать свой цену, пока это законно! когда я смочь они забрать?"
124,0,"Я все еще ищу машину, чтобы купить. Четвертый тест на вождение еще не прошел.","я всё ещё искать машину, чтобы купить. четвёртый тест на вождение ещё не прошел."
125,0,"В соответствии с вашим запросом 'balle balle' был установлен в качестве вашего callertune для всех звонящих. Нажмите *9, чтобы скопировать друзей Callertune","в соответствие с ваш запрос 'balle balle' быть установить в качество ваш callertune для весь звонящих. нажать *9, чтобы скопировать друг callertune"
126,0,"ты прав! Я не хотел этого делать. Я думаю, как только я отказался от бостонцев и изменил свое местоположение поиска на хорошее, что-то изменилось. Потому что на моей странице входа в систему все еще написано Бостон.","ты прав! я не хотеть это делать. я думаю, как только я отказаться от бостонец и изменить свой местоположение поиск на хорошее, что-то изменилось. потому что на мой страница вход в система всё ещё написать бостон."
127,0,Умма моя жизнь и вава умма люблю тебя много дорогой,умма мой жизнь и вава умма любить ты много дорога
128,0,"Большое спасибо за ваши пожелания в мой день рождения. Спасибо, что сделали мой день рождения по-настоящему запоминающимся.","большой спасибо за ваш пожелание в мой день рождения. спасибо, что сделать мой день рождение по-настоящему запоминающимся."
129,0,"Хорошо, я свяжусь с тобой, когда получу немного наличных","хорошо, я связаться с тобой, когда получить немного наличный"
130,0,"Как мой IP-адрес может проверить, что мой компьютер не является сервером minecraft","как мой ip-адрес мочь проверить, что мой компьютер не являться сервер minecraft"
131,0,"Ворчливые старики. Моей маме казалось, что тебе лучше не лгать. Опять же, я всегда тот, кто играет шутки...","ворчливый старики. мой мама казалось, что ты хороший не лгать. опять же, я всегда тот, кто играть шутки..."
132,0,"Не волнуйся, я думаю, он занят.","не волнуйся, я думаю, он занят."
133,0,Что является множественным числом существительного исследования?,что являться множественный число существительное исследования?
134,0,Пойду поужинаю. После переписки.,пойти поужинал. после переписки.
135,0,"Я согласен с этим, потому что мне нравится пробовать новые вещи. Но я испугался, что ты поступил так же, как и я, потому что ты сказал не слишком громко.","я согласный с этим, потому что я нравиться пробовать новый вещи. но я испугался, что ты поступить так же, как и я, потому что ты сказать не слишком громко."
136,0,"Мой дядя только что сообщил мне, что он платит школе напрямую. Поэтому, пожалуйста, покупайте еду.","мой дядя только что сообщить мне, что он платить школа напрямую. поэтому, пожалуйста, покупать еду."
137,1,Ваша выписка по счету за 2004 год за 07742676969 показывает 786 неиспользованных бонусных баллов. Для подачи заявки позвоните по номеру 08719180248 Идентификационный код: 45239 Срок действия истекает,ваш выписка по счёт за 2004 год за 07742676969 показывать 786 неиспользованный бонусный баллов. для подача заявка позвонить по номер 08719180248 идентификационный код: 45239 срок действие истекать
