,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,label,content
29,29,29,29,29,29,1,"здравствуйте, сэр, я из службы поддержки клиентов airtel через 23 часа ваш сим будет деактивирован. вы хотите активировать его."
30,30,30,30,30,30,1,"здравствуйте, сэр, я от идеи обслуживания клиентов в 23 часов ваш сим будет деактивирован. вы хотите активировать его."
31,31,31,31,31,31,1,"здравствуйте, сэр, я из службы поддержки клиентов Vodafone через 23 часа ваш сим будет деактивирован. вы хотите активировать его."
32,32,32,32,32,32,1,"здравствуйте, сэр, я из службы поддержки клиентов bsnl через 23 часа ваш сим будет деактивирован. вы хотите активировать его."
33,33,33,33,33,33,1,"здравствуйте, сэр, я из центра обслуживания клиентов JIO, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP."
34,34,34,34,34,34,1,"здравствуйте, сэр, я из центра обслуживания клиентов airtel, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры opt будут отправлены. скажите мне, что OTP."
35,35,35,35,35,35,1,"здравствуйте, сэр, я из центра обслуживания клиентов IDEA, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP."
36,36,36,36,36,36,1,"здравствуйте, сэр, я из центра обслуживания клиентов Vodafone, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP."
37,37,37,37,37,37,1,"здравствуйте, сэр, я из центра обслуживания клиентов bsnl, мы проверяем ваш номер, поэтому в вашем телефоне будет отправлено четыре цифры opt. скажите мне, что otp."
38,38,38,38,38,38,1,"здравствуйте, сэр, это ваш менеджер банка hdfc. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета."
39,39,39,39,39,39,1,"здравствуйте, сэр, это ваш менеджер банка ICICI. ваш kyc истек. Таким образом, вы бреетесь, чтобы kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, сообщите мне информацию о своем счете."
40,40,40,40,40,40,1,"здравствуйте, сэр, это ваш менеджер банка Axis. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета."
41,41,41,41,41,41,1,"здравствуйте, сэр, это ваш менеджер банка uniun. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, pleae скажите мне детали вашего счета."
42,42,42,42,42,42,1,"здравствуйте, сэр, это ваш менеджер банка sbi. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета."
43,43,43,43,43,43,1,"здравствуйте, сэр, это ваш менеджер банка в Аллахабаде. ваш kyc истек. Поэтому вам нужно kyc себя, но из-за настройки covid мы делаем kyc онлайн, пожалуйста, скажите мне детали вашего счета."
44,44,44,44,44,44,1,"здравствуйте, сэр, вы используете bhim/upi , сэр, вы должны благодарить свой bhim/upi othr за то, что ваш аккаунт будет заблокирован."
45,45,45,45,45,45,1,"здравствуйте, сэр, скажите мне свой номер мобильного телефона кредитной/дебетовой карты и карту aadhar."
46,46,46,46,46,46,1,"здравствуйте, я из текстового отдела доходов, вы не зарегистрировали свой aadhar на своей карте Pan. пожалуйста, скажите мне свой номер aadhar, чтобы подключиться к вашей карте Pan."
47,47,47,47,47,47,1,"здравствуйте, сэр, я из банка, пожалуйста, скажите мне номер CVV вашей карты для вашей банковской верификации."
48,48,48,48,48,48,1,"здравствуйте, сэр, я из Union Bank, сэр, я должен позвонить вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan карты и номер вашей дебетовой/кредитной карты."
49,49,49,49,49,49,1,"здравствуйте, сэр, я из банка sbi, сэр, я должен позвонить вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan, а также номер вашей дебетовой/кредитной карты."
50,50,50,50,50,50,1,"здравствуйте, сэр, я из банка hdfc, сэр, у меня есть звонок вам для проверки вашего банковского счета, вы хотите подтвердить свой счет. сэр, затем скажите мне номер вашей карты aadhar и Pan, а также номер вашей дебетовой/кредитной карты."
51,51,51,51,51,51,1,"здравствуйте, сэр, я из индийского банка, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты aadhar и Pan и номер вашей дебетовой/кредитной карты."
52,52,52,52,52,52,1,"здравствуйте, сэр, я из банка OBI, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты Aadhar и Pan, а также номер вашей дебетовой/кредитной карты."
53,53,53,53,53,53,1,"здравствуйте, сэр, я из банка Аллахабада, сэр, у меня есть звонок вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты aadhar и Pan и номер вашей дебетовой/кредитной карты."
54,54,54,54,54,54,1,"здравствуйте, сэр, я из банка Барода, сэр, я должен позвонить вам для проверки вашего банковского счета. Вы хотите подтвердить свой счет. Затем, сэр, сообщите мне номер вашей карты Aadhar и Pan, а также номер вашей дебетовой/кредитной карты."
55,55,55,55,55,55,1,"здравствуйте, сэр ,я из unoin банка Индии у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера."
56,56,56,56,56,56,1,"здравствуйте, сэр ,я из sbi банка Индии у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера."
57,57,57,57,57,57,1,"здравствуйте, сэр ,я из банка Axis в Индии, у вас есть заполненная форма заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера."
58,58,58,58,58,58,1,"здравствуйте, сэр ,я из банка hdfc Индии, у вас есть заполненная форма заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и otp вашего мобильного номера."
59,59,59,59,59,59,1,"здравствуйте, сэр ,я из банка Барода Индия у вас есть заполнить форму заявки на кредит. я позвонил вам для проверки вашего документа, скажите мне свой номер aadhar и OTP вашего мобильного номера."
60,60,60,60,60,60,1,"здравствуйте, сэр, я из paytm есть предложение в paytm обновить свой счет, чтобы вы могли наслаждаться лучшими кешбэками."
61,61,61,61,61,61,1,"вы выиграли счастливый розыгрыш для покупок на Amazon, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики."
62,62,62,62,62,62,1,"вы выиграли счастливый розыгрыш для покупок на флипкарте, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики."
63,63,63,63,63,63,1,"вы выиграли счастливый розыгрыш для покупок на myntra, предоставьте свои банковские реквизиты для внесения вашей суммы на счет логистики."
64,64,64,64,64,64,1,"здравствуйте, сэр, мы из центра здравоохранения covid-19, для вакцинации звоните 7845963214"
65,65,65,65,65,65,1,"здравствуйте, сэр, я из центра Covid-19, вы заполнили форму для вакцинации, мы за верификацию вашего документа."
66,66,66,66,66,66,1,"здравствуйте, сэр, я из центра covid-19, те, кто вакцинирован, они получат деньги индийским правительством, пожалуйста, сообщите мне информацию о счете, чтобы внести деньги на ваш счет."
67,67,67,67,67,67,1,"здравствуйте, сэр, я из центра covid-19, за вакцинацию вы должны заплатить деньги ,пожалуйста, заплатите свои деньги за это upi myupi@axis"
68,68,68,68,68,68,0,"здравствуйте, как поживаете. Я в порядке, а как же вы."
69,69,69,69,69,69,0,hii
70,70,70,70,70,70,0,"Feb 10, 2008, 14:24"
71,71,71,71,71,71,1,"привет, вы выиграли 10000 INR, вы хотите внести его на свой банковский счет."
72,72,72,72,72,72,1,дайте мне номер вашего банковского счета и номер дебетовой карты для внесения денег на ваш банковский счет.
73,73,73,73,73,73,1,"здравствуйте, сэр,я из банка sbi,вы хотите новую кредитную карту. Дайте свой aadhar и номер мобильного телефона для выпуска кредитной карты."
74,74,74,74,74,74,1,"здравствуйте, сэр, чтобы получить ваучер на 500 INR для игры в рамми перейдите по этой ссылке http://xyz.abc"
75,75,75,75,75,75,1,"здравствуйте, я из индийской армии. по ошибке я дал свой номер мобильного телефона в amozon во время онлайн-покупок, что почему у вас есть OTP, пожалуйста, скажите мне, что OTP."
76,76,76,76,76,76,1,"Как ценный сетевой клиент, вы были выбраны, чтобы получить приз в размере 9000 INR! Чтобы подать заявку, позвоните по номеру 09061701461. Код заявки KL341. Действителен только 12 часов."
77,77,77,77,77,77,1,Если ваш мобильный телефон 11 месяцев или больше? вы имеете право на обновление до последних цветных мобильных телефонов с камерой бесплатно! Позвоните в The Mobile Update Co БЕСПЛАТНО по телефону 08002986030.
78,78,78,78,78,78,0,"Хорошо, я смотрю здесь."
79,79,79,79,79,79,0,"Это правда, как ты пишешь его имя?"
80,80,80,80,80,80,0,"Попробую 2 месяца,ха-ха, только шучу."
81,81,81,81,81,81,0,Ты сел на автобус? Ты жаришь яйцо? Ты заварил чай? Ты ешь остатки мамы за ужином? Чувствуешь мою любовь ?
82,82,82,82,82,82,0,"Я вернулся, и мы собираем машину, я дам вам знать, если есть место."
83,83,83,83,83,83,0,"Здравствуйте! Как вы и как прошла суббота? Я просто писала, чтобы узнать, не решил ли ты сделать что-нибудь томографическое. Не то, чтобы я пытался пригласить себя или что-то еще!"
84,84,84,84,84,84,0,Пльс идут вперед с ваттами. Я просто хотел быть уверенным. Приятных выходных.
85,85,85,85,85,85,0,"Хорошо, расскажи мне что-нибудь о себе."
86,86,86,86,86,86,0,"ты не представляешь, какой я упрямый. Я даже не хотел идти в больницу. Я продолжал говорить Марку, что я не слабак. Больницы для слабых сосисок."
87,87,87,87,87,87,0,Что ты обо мне думаешь. Вы впервые увидели меня в классе.
88,88,88,88,88,88,0,"Знаешь, что вчера сделала Маллика Шерават?"
89,89,89,89,89,89,1,Поздравляем! 1 год специального пропуска в кино на двоих - ваш. Не пропустите!
90,90,90,90,90,90,0,"Извините, я позвоню позже на встрече."
91,91,91,91,91,91,0,"Расскажите, где вы добрались."
92,92,92,92,92,92,0,Да...Гаути и Сехваг из серии Оди.
93,93,93,93,93,93,0,Тебе придётся забрать себе бургер за 1 доллар по дороге домой. Я даже не могу пошевелиться. Боль убивает меня.
94,94,94,94,94,94,0,Хорошая шутка. Девочки - искатели ситуаций.
95,95,95,95,95,95,0,Это часть проверки IQ.
96,96,96,96,96,96,0,"Простите, мои соседи по комнате заняли целую вечность, ничего, если я сейчас приду?"
97,97,97,97,97,97,0,Планирую отдать в конце этого месяца.
98,98,98,98,98,98,0,Вах везунчик... Тогда можно сэкономить... Хи...
99,99,99,99,99,99,0,"Занятия закончились, где вы?"
100,100,100,100,100,100,1,"ПРИВЕТ, ДЕТКА, Я ДОМА, ТЕПЕРЬ ХОЧУ ЧТО-ТО СДЕЛАТЬ? XXX"
101,101,101,101,101,101,0,"хорошо, где вы? как вы выступили?"
102,102,102,102,102,102,0,Можете мне позвонить
103,103,103,103,103,103,0,"Я жду Махана. Позвони мне, как освободишься."
104,104,104,104,104,104,0,Это круто. Я джентльмен и буду относиться к вам с достоинством и уважением.
105,105,105,105,105,105,0,"Вы мне очень нравитесь, но я очень застенчивый папа."
106,106,106,106,106,106,0,Не работает после  &lt;#&gt;  или что
107,107,107,107,107,107,0,Здесь все по-другому. Все еще ищу работу. Сколько вы там зарабатываете.
108,108,108,108,108,108,0,"Извините, я позвоню позже."
109,109,109,109,109,109,0,Ты только что мне позвонил?
110,110,110,110,110,110,0,"Хорошо, я на пути домой."
111,111,111,111,111,111,0,Вы окажетесь на месте этого человека.
112,112,112,112,112,112,0,"Да, следующая остановка."
113,113,113,113,113,113,0,"Я позвоню тебе позже, у меня нет сети. Если срочно, напишите мне."
114,114,114,114,114,114,0,"Серьезно, когда ты нападаешь на себя? Мне нужно еще два билета и еще один пиджак, и я закончил. Я уже использовал все свои мультисы."
115,115,115,115,115,115,0,"Да, я начал посылать запросы, чтобы сделать это, но боль вернулась, поэтому я вернулся в постель. Двойные монеты на заводе. Я должен обналичить все свои нитро."
116,116,116,116,116,116,0,"Я действительно не до этого еще сегодня вечером, детка"
117,117,117,117,117,117,0,"приходите, когда будете свободны."
118,118,118,118,118,118,0,Смотреть мультфильм «Телугу» - как насчет тебя?
119,119,119,119,119,119,0,"понятно. Когда мы закончим, у нас будет куча кредитов для оплаты."
120,120,120,120,120,120,0,Является ли это испытанием для вас?
121,121,121,121,121,121,0,Я вижу чашку кофе с анимацией.
122,122,122,122,122,122,0,"Пожалуйста, больше не пиши мне. Мне больше нечего сказать."
123,123,123,123,123,123,0,"Хорошо, назовите свою цену, пока это законно! Когда я смогу их забрать?"
124,124,124,124,124,124,0,"Я все еще ищу машину, чтобы купить. Четвертый тест на вождение еще не прошел."
125,125,125,125,125,125,0,"В соответствии с вашим запросом 'balle balle' был установлен в качестве вашего callertune для всех звонящих. Нажмите *9, чтобы скопировать друзей Callertune"
126,126,126,126,126,126,0,"ты прав! Я не хотел этого делать. Я думаю, как только я отказался от бостонцев и изменил свое местоположение поиска на хорошее, что-то изменилось. Потому что на моей странице входа в систему все еще написано Бостон."
127,127,127,127,127,127,0,Умма моя жизнь и вава умма люблю тебя много дорогой
128,128,128,128,128,128,0,"Большое спасибо за ваши пожелания в мой день рождения. Спасибо, что сделали мой день рождения по-настоящему запоминающимся."
129,129,129,129,129,129,0,"Хорошо, я свяжусь с тобой, когда получу немного наличных"
130,130,130,130,130,130,0,"Как мой IP-адрес может проверить, что мой компьютер не является сервером minecraft"
131,131,131,131,131,131,0,"Ворчливые старики. Моей маме казалось, что тебе лучше не лгать. Опять же, я всегда тот, кто играет шутки..."
132,132,132,132,132,132,0,"Не волнуйся, я думаю, он занят."
133,133,133,133,133,133,0,Что является множественным числом существительного исследования?
134,134,134,134,134,134,0,Пойду поужинаю. После переписки.
135,135,135,135,135,135,0,"Я согласен с этим, потому что мне нравится пробовать новые вещи. Но я испугался, что ты поступил так же, как и я, потому что ты сказал не слишком громко."
136,136,136,136,136,136,0,"Мой дядя только что сообщил мне, что он платит школе напрямую. Поэтому, пожалуйста, покупайте еду."
137,137,137,137,137,137,1,Ваша выписка по счету за 2004 год за 07742676969 показывает 786 неиспользованных бонусных баллов. Для подачи заявки позвоните по номеру 08719180248 Идентификационный код: 45239 Срок действия истекает
138,138,138,138,138,138,1,"Ваш номер мобильного телефона был награжден 2000 INR Bonus Caller Prize на 5/9/0021 Это наша последняя попытка связаться с U! скачать приложение xyz, чтобы получить его."
139,139,139,139,139,139,0,вот мой новый адрес - apples&pairs&all that malarky
140,140,140,140,140,140,1,"Сегодня номера Vodafone, заканчивающиеся 7548, выбраны для получения награды в размере 350 долларов США. Если у вас есть совпадение, пожалуйста, позвоните по телефону 08712300220, указав код заявки 4041 стандартные ставки App"
141,141,141,141,141,141,0,Сегодня я еду в Сан-Му. Сделать это можно будет только в 12
142,142,142,142,142,142,0,"вы спрогнозировали, в какое время вы закончите покупку?"
143,143,143,143,143,143,0,"Хорошая штука, подойдет."
144,144,144,144,144,144,0,"Просто, чтобы вы знали, баран еще не отправил деньги. Я только что отправил ей смс, чтобы не беспокоиться об отправке. Так что все кончено, вам не нужно вовлекать себя ни в что. Я не должен был ничего тебе навязывать, так что прошу прощения."
145,145,145,145,145,145,0,"Ты там, в комнате."
146,146,146,146,146,146,0,"ПРИВЕТ, ДЕВОЧКА. НАДЕЮСЬ, ЧТО ВЫ ХОРОШО МЕНЯ И RAM ВЕРНУЛИСЬ! ОПЯТЬ ДОЛГО НЕ ВИДЕЛИСЬ! ДАЙТЕ МНЕ СУММУ ВРЕМЕНИ ЗВОНКА ОТ ЛЮСИ"
147,147,147,147,147,147,0,Сколько это стоит? 
148,148,148,148,148,148,0,Я дома. 
149,149,149,149,149,149,0,"Уважаемый, позвоню завтра. пожалуйста, разместитесь."
150,150,150,150,150,150,0,Сначала ответьте на мой вопрос.
151,151,151,151,151,151,1,Еженедельная викторина Sunshine! Выиграйте лучший DVD-звонок Sony 789654123.
152,152,152,152,152,152,0,Ты звонишь и встречаешься с ним.
153,153,153,153,153,153,0,"Нет, нет, я проверю все комнаты перед мероприятиями."
154,154,154,154,154,154,0,"Вижу... лениво печатаю... забыла тебя на лекции... видела мешочек, но не очень приятный..."
155,155,155,155,155,155,0,"Хорошо, напиши мне, когда будешь в пути"
156,156,156,156,156,156,0,"Сэр, ждем вашу почту."
157,157,157,157,157,157,0,Сладкая мысль: «Никогда не уставай делать мелочи для милых людей..» потому что..иногда эти мелочи занимают большую часть в их сердцах.. спокойной ночи
158,158,158,158,158,158,0,"Я знаю, что это так. Не могли бы вы открыть заднюю часть?"
159,159,159,159,159,159,0,"Да, увидимся не на месте."
160,160,160,160,160,160,0,"Как зовут сотрудников, которые берут у нас уроки?"
161,161,161,161,161,161,0,"Ummma.will позвонит после регистрации. Наша жизнь начнется с катара, поэтому, пожалуйста, молитесь очень усердно."
162,162,162,162,162,162,0,"хорошо..я удалил свой контакт, почему?"
163,163,163,163,163,163,0,Синду устроился на работу в birla soft ..
164,164,164,164,164,164,0,"Вино течет, и я никогда не..."
165,165,165,165,165,165,0,"Да, я думаю, что кино лучше, потому что нет необходимости спускаться на площадь."
166,166,166,166,166,166,0,Хорошо... ваш типичный ответ...
167,167,167,167,167,167,0,"В соответствии с вашим запросом «Melle Melle» был установлен в качестве настроек звонка для всех абонентов. Нажмите *9, чтобы скопировать друзей Callertune"
168,168,168,168,168,168,0,"Ты везде грязный, на полу, на окнах, даже на моей рубашке. И иногда, когда я открываю рот, ты - все, что выходит наружу. Я мечтаю о своем мире без тебя, тогда половина моих дел тоже закончится. Время радости для меня, много телевизионных шоу, которые я увижу. Но я думаю, как и все, что вы просто должны существовать, как дождь, град и туман, и когда мое время здесь закончится, вы и я станем единым целым."
169,169,169,169,169,169,0,"Все в порядке, ты на работе?"
170,170,170,170,170,170,0,Я ухожу из дома.
171,171,171,171,171,171,0,"Привет, любовь моя, что ты делаешь? Вы сегодня были на этом интервью? Ты счастлив? Ты хороший мальчик? Ты думаешь обо мне?Ты скучаешь по мне ?"
172,172,172,172,172,172,1,"Объявление об обслуживании клиентов. Вас ждет новогодняя доставка. Пожалуйста, позвоните 07046744435 сейчас, чтобы договориться о доставке"
173,173,173,173,173,173,1,"Вы являетесь победителем, который был специально выбран для получения £ 1000 наличными или 4* отпуск (рейсы вкл) поговорить с живым оператором, чтобы претендовать 0871277810810"
174,174,174,174,174,174,0,"Держите себя в безопасности для меня, потому что я нуждаюсь в вас, и я уже скучаю по вам, и я завидую всем, кто видит вас в реальной жизни"
175,175,175,175,175,175,0,Новый автомобиль и дом для моих родителей. У меня только новая работа в руке:)
176,176,176,176,176,176,0,"Я так в тебя влюблена. Я взволнован каждый день, который я провожу с тобой. Ты делаешь меня такой счастливой."
177,177,177,177,177,177,0,Я уже поместил все твои очки в один модуль по культуре.
178,178,178,178,178,178,0,"Привет, друг, какой лучший способ избежать промаха с нашим любимым?"
179,179,179,179,179,179,0,"Отличный побег. Мне нравится мост, но нужен ее лагер. Увидимся в Томарроу."
180,180,180,180,180,180,0,Да :)это совершенно не в форме:)Кларк также полные отходы.
181,181,181,181,181,181,1,"Сэр, мне нужен номер БАНКОВСКОГО СЧЕТА AXIS и адрес банка."
182,182,182,182,182,182,0,"Хммм... Спасибо, конечно, есть время надеяться... Да, можно пойти бесплатно о... Муз позвонить вам, чтобы обсудить ляо..."
183,183,183,183,183,183,0,Во сколько ты придешь позже?
184,184,184,184,184,184,0,"Черт возьми, не могу поверить, что ты забыл мою фамилию, мистер . Я дам вам подсказку, ее испанский и начинается с м..."
185,185,185,185,185,185,0,"Ну, я собираюсь закончить свою ванну сейчас. Хорошего вечера."
186,186,186,186,186,186,0,"Дай мне знать, когда у тебя будут деньги, чтобы Карлос мог позвонить"
187,187,187,187,187,187,0,ты все еще идешь в торговый центр?
188,188,188,188,188,188,0,"Оказывается, мои друзья остаются на все шоу и не вернутся до ~ &lt;#&gt; , так что не стесняйтесь идти вперед и курить то, что стоит $ &lt;#&gt;"
189,189,189,189,189,189,0,"Напишите ей. Если она не ответит, дайте мне знать, чтобы я мог ее войти в систему"
190,190,190,190,190,190,0,"Привет! Вы только что говорили с MANEESHA . Мы хотели бы знать, удовлетворены ли вы опытом. Ответить бесплатно с да или нет."
191,191,191,191,191,191,0,"Ты возвысил мои надежды с предложением денег. Я в нужде. Особенно, когда приближается конец месяца, и это вредит моему обучению. В любом случае, отлично проведите выходные"
192,192,192,192,192,192,0,Ты можешь доверять мне.
193,193,193,193,193,193,0,я джентльмен и буду относиться к тебе с достоинством и уважением.
194,194,194,194,194,194,0,"Он будет, ребята, вы близки?"
195,195,195,195,195,195,0,Ничего хорошего .Пока
196,196,196,196,196,196,0,"Привет, красавчик ! Ты находишь эту работу ? Работаешь над тем, чтобы вернуть эту сеть для мамы ? Где сейчас мой мальчик? Он скучает по мне ?"
197,197,197,197,197,197,0,"Ха-ха, потрясающе, буду через минуту"
198,198,198,198,198,198,1,"Пожалуйста, позвоните нашему представителю по обслуживанию клиентов по БЕСПЛАТНОМУ телефону 0808 145 4742 с 9:00 до 23:00, так как вы ВЫИГРАЛИ гарантированную сумму в 1000 рупий или приз в 5000 фунтов стерлингов!"
199,199,199,199,199,199,0,"У вас есть рождественское радио. Если нет, то я получу его сейчас."
200,200,200,200,200,200,0,"Я только что добрался домой. Я пойду сначала искупаюсь. Но моя сестра, используя сеть, скажет тебе, когда она закончит к..."
201,201,201,201,201,201,0,Достаточно ли вы уникальны? Узнайте с 30 августа. www.areyouunique.co.uk
202,202,202,202,202,202,0,"Извините, я вступил в лигу людей, которые не поддерживают связь. Ты много значишь для меня. Вы были другом во все времена, даже ценой больших личных затрат. Желаю вам отличной недели."
203,203,203,203,203,203,0,Привет :)наконец-то я закончил курс:)
204,204,204,204,204,204,0,"Он остановится сам по себе. Тем не менее, я предлагаю ей остаться с кем-то, кто сможет дать ОРС за каждый стул."
205,205,205,205,205,205,0,"Как дела? Надеемся, что вы освоились в новом учебном году. Просто желаю тебе отличного дня"
206,206,206,206,206,206,0,"Доброе утро, дорогой, хороший день."
207,207,207,207,207,207,0,У вас есть эта история о людях?
208,208,208,208,208,208,0,"ваш хомяк мертв? Привет, Томаро. Встретимся в 13:00 в Фруктовом саду?"
209,209,209,209,209,209,0,"Здравствуйте, это Кейт, как ваш вечер? Я надеюсь, что увижу тебя завтра, но мне нужно в детский сад! Напишите, если сможете. :)"
210,210,210,210,210,210,0,"Нашли, ENC  &lt;#&gt; , где вы?"
211,211,211,211,211,211,0,Я послал вам  &lt;#&gt;  баксов
212,212,212,212,212,212,0,"Здравствуйте, дорогой, я закончил колледж, поэтому напишите мне, когда закончите, если вы можете любить Кейт XXX."
213,213,213,213,213,213,0,Ваша учетная запись была успешно пополнена INR  &lt;DECIMAL&gt; . Ваш остаток на предоплаченном счете KeralaCircle составляет &lt;DECIMAL&gt; рупий. Ваш ID транзакции - KR &lt;#&gt; .
214,214,214,214,214,214,0,"Доброе утро, спящий таран."
215,215,215,215,215,215,0,"ты звонишь мне в 11, хорошо."
216,216,216,216,216,216,0,"ты говоришь до тех пор, пока я не сделаю купить ericsson oso не может oredi лар..."
217,217,217,217,217,217,0,"Когда я вошел в свою каюту, мой помощник сказал: «Счастливого B'day Boss !!». Я чувствовал себя особенным. Она попросила меня 4 обеда. После обеда она пригласила меня в свою квартиру. Мы пошли туда."
218,218,218,218,218,218,0,"Добрый день, датский гетеросексуал"
219,219,219,219,219,219,0,"Пожалуйста, дайте нам соединение сегодня до  &lt;DECIMAL&gt;  или верните счет"
220,220,220,220,220,220,0,"Оба, я стреляю большими грузами, так что готовьтесь!"
221,221,221,221,221,221,0,"Что случилось, брат, надеюсь, у тебя был отличный перерыв. Получите вознаграждение за семестр."
222,222,222,222,222,222,0,"Домой, чтобы мы всегда могли пообщаться"
223,223,223,223,223,223,0,Хорошо:) хорошо учитесь.
224,224,224,224,224,224,0,Да... как ты но лех...
225,225,225,225,225,225,0,Звучит здорово! Ты уже дома?
226,226,226,226,226,226,0,"Наконец, матч, направленный к ничьей, как ваш прогноз."
227,227,227,227,227,227,0,Я не выспался за последние несколько ночей.
228,228,228,228,228,228,0,Easy ah?sen получил выбран означает его хорошо..
